問題番号,分野,肢,文章,正誤,簡単な解説
令和7年度第7問,不動産登記法,ア,土地家屋調査士Ｂが、株式会社Ａから登記識別情報の提供を受けて、登記識別情報提供様式を作成して電子申請の方法により甲土地の分合筆の登記申請をする場合には、登記識別情報の暗号化についての特別の授権は不要である。,×,登記識別情報の暗号化等については、代理人に対して特別の授権が明示的に必要とされているため。
令和7年度第7問,不動産登記法,イ,株式会社Ａの代表取締役が令和7年4月1日に替わったときであっても、土地家屋調査士Ｂは、同月2日に株式会社Ａを代理して甲土地の分合筆の登記申請をすることができる。,○,法人の代表者の変更は、代理人の代理権の消滅事由には該当しないため。
令和7年度第7問,不動産登記法,ウ,土地家屋調査士Ｂが株式会社Ａの許諾を得て復代理人を選任したときであっても、Ｂは、株式会社Ａを代理して甲土地の分合筆の登記申請をすることができる。,○,復代理人を選任しても、本代理人の代理権は消滅せず、引き続き代理行為を行うことができるため。
令和7年度第7問,不動産登記法,エ,土地家屋調査士Ｂが令和7年4月1日に死亡した場合には、Ｂの相続人である土地家屋調査士Ｃは、Ｂの地位を承継したものとして、株式会社Ａを代理して甲土地の分合筆の登記申請をすることができる。,×,民法第111条により、代理人の死亡により代理権は消滅し、相続人にその地位は承継されないため。
令和7年度第7問,不動産登記法,オ,甲土地の分合筆の登記申請の際に納付した登録免許税に過誤納があった場合には、土地家屋調査士Ｂは、「甲土地の分合筆の登記申請に関する一切の件」とのみ記載された委任状に基づいて、株式会社Ａを代理してその還付金を受領することができる。,×,還付金の受領には、委任状に特別の授権（還付金受領に関する権限）が明記されている必要があるため。
令和7年度第8問,不動産登記法,ア,表題部所有者である株式会社Ａを株式会社Ｂが吸収合併した場合には、株式会社Ｂは、表題部所有者の名称についての変更の登記の申請をすることができる。,×,吸収合併による権利義務の承継は変更ではなく移転にあたるため、承継法人は直接、所有権保存登記等を申請すべきであり、表題部所有者の変更登記はできないため。
令和7年度第8問,不動産登記法,イ,表題部所有者である特例有限会社Ａが株式会社Ａに商号変更をした場合には、株式会社Ａは、表題部所有者の名称についての変更の登記の申請をすることができる。,○,商号変更は同一性を保った名称の変更にすぎないため、表題部所有者の名称の変更の登記が可能であるため。
令和7年度第8問,不動産登記法,ウ,表題部所有者として登記されているＡの住所についての更正の登記と、Ａの氏についての変更の登記とは、一の申請情報によって申請をすることができない。,×,変更の登記と更正の登記は、目的とする不動産が同一であれば、一の申請情報によって申請することができるため。
令和7年度第8問,不動産登記法,エ,表題部所有者であるＡ及びＢの持分が誤って登記されている場合において、当該持分についての更正の登記の申請をするときは、Ａは、Ｂの承諾を証する情報を提供して、単独で当該申請をすることができる。,○,自己の持分を減らし相手の持分を増やすなど、権利を失う側（不利益を受ける者）の承諾があれば、単独で更正登記の申請ができるため。
令和7年度第8問,不動産登記法,オ,表題部所有者の住所が登記記録上の住所から数回にわたって変更している場合には、表題部所有者は直ちに現在の住所に変更する旨の表題部所有者の住所についての変更の登記の申請をすることができる。,○,住所の移転が数回にわたる場合でも、中間の住所変更を省略して直ちに現在の住所への変更の登記を申請できるため。
令和7年度第9問,不動産登記法,ア,土地の所有権の登記名義人の氏名が登記記録上の氏名と異なる場合であっても、当該氏名についての変更があったことを証する市町村長が職務上作成した情報を提供することにより、当該土地に係る地積測量図の訂正の申出をすることができる。,○,職権による氏名変更の証明書等を提供すれば、前提としての氏名変更の登記を経ることなく地積測量図の訂正申出が可能であるため。
令和7年度第9問,不動産登記法,イ,書面を提出する方法により地積に関する更正の登記を申請した場合に、作成者が署名した地積測量図には、その作成者の押印は要しない。,○,法改正により、作成者が署名した図面（地積測量図等）への押印は不要とされたため。
令和7年度第9問,不動産登記法,ウ,筆界点に永続性のある石杭又は金属標があるときは、地積測量図にその表示を記録しなければならない。,○,地積測量図には、筆界点にある永続性のある標識の表示を記録することが義務付けられているため。
令和7年度第9問,不動産登記法,エ,分筆の登記を申請する際に添付する地積測量図には、分筆前の土地が広大であって、分筆後の土地の一方がわずかであるときは、地積の記録を便宜省略することができる。,×,分筆後の全筆について実測して地積を求積し記録する必要があり、一部の地積の記録を省略することは認められていないため。
令和7年度第9問,不動産登記法,オ,地積測量図の縮尺がその土地について作成すべき土地所在図の縮尺と同一であって、当該地積測量図によって土地の所在を明確に表示することができるときであっても、当該地積測量図をもって土地所在図を兼ねることはできない。,×,所定の要件を満たす場合には、地積測量図をもって土地所在図を兼ねることができるため。
令和7年度第10問,不動産登記法,ア,建物の所在の変更の登記を申請する場合には、建物図面及び各階平面図を提供しなければならない。,×,建物の所在の変更の登記において、敷地の変更がなく建物の形状等に変更がない場合は、各階平面図等の提供は不要となる場合があるため。
令和7年度第10問,不動産登記法,イ,甲土地上にのみ存する区分建物について、当該区分建物の存しない乙土地を当該区分建物の規約敷地とする新たな規約を設定したことによる表題部の変更の登記を申請する場合には、建物図面を提供しなければならない。,×,規約敷地を追加設定するだけで建物の配置自体に変更が生じない場合、建物図面の提供は不要であるため。
令和7年度第10問,不動産登記法,ウ,仮換地上に建築された建物の表題登記を申請する場合に添付する建物図面には、敷地の形状として、当該建物の存する仮換地の形状を実線で図示しなければならない。,○,仮換地上の建物の場合、建物図面には仮換地の形状を実線で図示する取扱いとなっているため。
令和7年度第10問,不動産登記法,エ,一棟の建物の1階に存する1階建ての甲区分建物と、甲区分建物の真上の階に存し甲区分建物と上下に接する1階建ての乙区分建物とを合併して、1個の区分建物とする合併の登記を申請する場合には、各階平面図を提供することを要しない。,×,階層が異なる区分建物を合併して多層（メゾネット）の区分建物にする場合、各階平面図を提供して階層構造を明確にする必要があるため。
令和7年度第10問,不動産登記法,オ,共用部分である旨の登記がある建物について共用部分である旨を定めた規約を廃止したことによる当該建物の表題登記を申請する場合には、建物図面及び各階平面図を提供することを要しない。,○,すでに登記所に提供され保存されている建物図面及び各階平面図をそのまま援用できるため、再度の提供は不要であるため。
令和7年度第11問,不動産登記法,ア,Ａ及びＢが所有権の登記名義人である甲土地から乙土地を分筆する分筆の登記の申請がされた場合において、分筆後の甲土地をＡが単独で所有し、乙土地をＢが単独で所有する旨の共有物分割の判決があったことを証する情報が提供されたときは、甲土地の登記記録にはＡが単独所有者として登記され、乙土地の登記記録にはＢが単独所有者として登記される。,×,分筆の登記は表題部の変更にすぎず、権利の変動（共有物分割）は分筆後に別途持分移転登記等を申請して行う必要があるため。
令和7年度第11問,不動産登記法,イ,甲土地に地上権の設定の登記がされており、かつ、当該地上権を目的とする抵当権の設定の登記がされている場合において、甲土地から乙土地を分筆する分筆の登記をするときに、登記官が当該地上権を分筆後の甲土地について消滅させる旨の登記をするためには、当該地上権の登記名義人が当該地上権を分筆後の甲土地について消滅させることを承諾したことを証する情報に加えて、当該抵当権の登記名義人が承諾したことを証する情報が提供されることが必要である。,○,権利の一部消滅の承諾には、その権利を目的とする第三者（抵当権者など）の承諾も必要となるため。
令和7年度第11問,不動産登記法,ウ,所有権移転請求権保全の仮登記がされている甲土地から乙土地を分筆する分筆の登記をする場合において、分筆後の乙土地について当該仮登記の登記名義人が権利の消滅を承諾したことを証する情報が提供されたときは、分筆後の乙土地の登記記録には当該仮登記は転写されない。,○,仮登記名義人の消滅承諾情報が提供されれば、その部分は転写されずに処理されるため。
令和7年度第11問,不動産登記法,エ,抵当権の設定の登記がされている甲土地から乙土地を分筆する分筆の登記の申請を書面を提出する方法によりする場合において、当該抵当権を分筆後の乙土地について消滅させることを当該抵当権の登記名義人が承諾したことを証する情報を提供するときは、当該情報に添付すべき当該登記名義人の印鑑に関する証明書は、作成後3月以内のものでなければならない。,×,所有権以外の権利の登記名義人の承諾書に添付する印鑑証明書には、作成後3ヶ月以内という期間制限は設けられていないため。
令和7年度第11問,不動産登記法,オ,地上権の設定の登記がされている甲土地から乙土地を分筆する分筆の登記を申請する場合において、当該地上権の存続期間が満了しているときは、乙土地の登記記録には地上権の設定の登記は転写されない。,×,存続期間が満了していても、登記簿上で抹消登記がされていない限り、原則として分筆先の土地にも転写されるため。
令和7年度第12問,不動産登記法,ア,区分建物である建物の登記記録の表題部のうち、一棟の建物の表題部には、当該一棟の建物の種類が記録される。,×,一棟の建物の表題部には「構造」と「床面積」は記録されるが、「種類」は記録事項とされていないため。
令和7年度第12問,不動産登記法,イ,登記官は、表題登記のある建物について共用部分である旨の登記をするときは、当該建物の種類に関する登記事項を抹消する記号を記録しなければならない。,×,共用部分である旨の登記をしても、建物の種類に関する登記事項が抹消されるわけではないため。
令和7年度第12問,不動産登記法,ウ,区分建物でない5階建ての1個の建物について、1階は食品の販売店、2階と3階は衣類の販売店、4階はゲームセンター、5階は映画館として利用されている場合には、当該建物の種類は「多目的ビル」と定めることができる。,×,建物の種類は主な用途を並記して「店舗・遊技場・映画館」のように定めるべきであり、「多目的ビル」とは定めないため。
令和7年度第12問,不動産登記法,エ,学校教育法の適用されない学習塾として利用されている建物の種類は、「教習所」と定めることができる。,○,学校教育法に規定する学校以外の教育施設（学習塾など）の建物の種類は「教習所」として扱うことができるため。
令和7年度第12問,不動産登記法,オ,各種油類の販売及び給油の目的の用に供するために建築されたガソリンスタンドの建物の種類は、「給油所」と定めることができる。,○,ガソリンスタンドなど、燃料の給油を目的とする建物の種類は「給油所」と定められるため。
令和7年度第13問,不動産登記法,ア,敷地権である旨の登記がされている土地については、当該敷地権である旨の登記を抹消した後でなければ、地目を宅地以外の地目に変更する登記の申請をすることができない。,×,敷地権である旨の登記がされたままでも、土地の地目変更の登記を申請することは可能であるため。
令和7年度第13問,不動産登記法,イ,区分建物とその敷地権の目的となる土地の各所有権の登記名義人の住所が一致していない場合であっても、各登記名義人の同一性を証する情報を添付情報とすれば、登記名義人の住所の変更又は更正の登記をすることなく、敷地権の発生を原因とする区分建物の表題部の変更の登記の申請をすることができる。,×,敷地権の発生原因とする変更の登記をするためには、事前に所有権登記名義人の住所変更の登記を行い、住所を一致させる必要があるため。
令和7年度第13問,不動産登記法,ウ,隣接する2筆の土地のいずれにも敷地権である旨の登記がされている場合には、当該2筆の土地についての合筆の登記の申請をすることができる。,×,敷地権である旨の登記がされている土地の合筆は、権利関係の混同を防ぐため原則として制限されているため。
令和7年度第13問,不動産登記法,エ,甲建物及び乙建物がいずれも区分建物であり、甲建物についてのみ敷地権の登記がある場合であっても、建物の合併の登記の申請をすることができる。,○,区分建物同士の合併において、一方のみに敷地権の登記がある場合でも、一定の要件下で合併の登記は可能であるため。
令和7年度第13問,不動産登記法,オ,一棟の建物に属する区分建物全部についての表題登記を申請する場合において、そのうちの一部の区分建物についてのみ専有部分とその専有部分に係る敷地利用権の分離処分を可能とする規約が設定されているときは、他の区分建物についてのみ敷地権に関する事項を申請情報とする当該登記の申請をすることができる。,○,分離処分可能規約が設定されていない区分建物についてのみ、敷地権に関する事項を提供して表題登記を申請できるため。
令和7年度第14問,不動産登記法,ア,表題登記のみがされた2個の建物を買い受けた者が、その両建物を合体して1個の建物とした後に、合体前の各建物の所有権の登記名義人となった場合には、その者は、合体後の建物についての建物の表題登記及び合体前の建物についての建物の表題部の登記の抹消を申請することができる。,○,合体により新たな建物となった場合、買受人から直接、合体後の建物の表題登記と合体前の建物の滅失（表題部抹消）の登記を申請できるため。
令和7年度第14問,不動産登記法,イ,電子情報処理組織を使用する方法により建物の表題登記を申請する場合において、書面に記載された建築基準法に基づく確認済証をスキャナにより電磁的記録に記録したものを添付情報とするときは、当該電磁的記録は、当該電磁的記録を作成した者による電子署名を要しない。,×,書面をスキャナで電磁的記録にした場合、それを作成した者（スキャンした者等）の電子署名が必要となるため。
令和7年度第14問,不動産登記法,ウ,区分建物以外の表題登記がない建物の所有権を取得した者が、表題登記を申請しないまま死亡した場合において、その相続人が当該建物についての表題登記の申請をするときは、被相続人を表題部所有者としなければならない。,×,未登記建物の承継取得者（相続人など）は、被相続人ではなく自己を表題部所有者として直接表題登記を申請できるため。
令和7年度第14問,不動産登記法,エ,土地の賃借人が当該土地上に新築した建物の表題登記を申請する場合には、当該土地の借地権を有することを証する情報を提供しなければならない。,×,建物の表題登記においては、敷地の利用権（借地権等）を証する情報の提供は法令上要求されていないため。
令和7年度第14問,不動産登記法,オ,建物の表題登記を申請する場合には、表題部所有者となる者の住所を証する情報として、当該表題部所有者となる者に係る印鑑に関する証明書を提供することができる。,○,市町村長が作成した印鑑証明書には住所が記載されており、住所を証する情報として取り扱うことができるため。
令和7年度第15問,不動産登記法,ア,抵当権の登記がある建物について、共用部分である旨の登記を申請する場合には、当該抵当権の登記名義人の承諾を証する当該登記名義人が作成した情報又は当該抵当権の登記名義人に対抗することができる裁判があったことを証する情報を提供しなければならない。,○,共用部分である旨の登記により、当該建物に関する所有権以外の権利は消滅するため、抵当権者等の承諾情報等が必要となるため。
令和7年度第15問,不動産登記法,イ,表題登記のある建物について、当該建物を共用部分とする旨の規約が定められた場合には、当該建物の表題部所有者は、当該規約が定められた日から1月以内に、共用部分である旨の登記を申請しなければならない。,×,共用部分である旨の登記は権利に関する登記であり、表題登記とは異なり1月以内の申請義務は課されていないため。
令和7年度第15問,不動産登記法,ウ,共用部分である旨の登記のある甲建物に附属建物がある場合において、当該附属建物を甲建物から分割して乙建物とする建物の分割の登記を申請するときは、甲建物の所有者を証する情報を提供しなければならない。,○,共用部分である旨の登記がされている建物の附属建物を分割する場合、権利の主体を明確にするため所有権を証する情報が必要となるため。
令和7年度第15問,不動産登記法,エ,甲建物について共用部分である旨の登記を申請する場合において、甲建物が数人の共有に属するときは、甲建物の共有者全員で申請しなければならない。,×,共用部分である旨の登記の申請は、建物の性質を明らかにするものであり、保存行為として共有者の一人から単独で申請できるため。
令和7年度第15問,不動産登記法,オ,甲区分建物について共用部分である旨の登記を申請する場合において、甲区分建物の属する一棟の建物以外の一棟の建物に属する区分建物の区分所有者が、甲区分建物を共用すべき区分所有者であるときは、当該区分所有者の氏名又は名称を申請情報の内容として提供しなければならない。,×,他の棟の区分所有者が共用する場合は、その区分所有者の氏名ではなく、その区分建物を特定する事項（所在、家屋番号等）を提供する必要があるため。
令和7年度第16問,不動産登記法,ア,対象土地の共有者の一人が筆界特定の申請人である場合には、申請人でない対象土地の他の共有者は、筆界特定登記官に対し、対象土地の筆界について意見又は資料を提出することができる。,○,申請人以外の共有者も関係人として、手続において意見や資料を提出することができるため。
令和7年度第16問,不動産登記法,イ,甲土地を所有するＡが、隣接する乙土地を所有するＢに対し、Ａが所有する範囲について所有権の確認の訴えを提起し、その判決が確定した場合には、Ａは、甲土地及び乙土地を対象土地として筆界特定の申請をすることができない。,×,所有権確認訴訟の判決が確定していても、筆界（公法上の境界）を確定する筆界確定訴訟の判決が確定していない限り、筆界特定の申請は可能であるため。
令和7年度第16問,不動産登記法,ウ,筆界特定の関係人は、筆界が特定されるまでの間は、当該筆界特定の手続において作成された調書及び提出された資料の閲覧を請求することができない。,×,手続の透明性確保のため、筆界特定前であっても関係人は調書や資料の閲覧を請求することができるため。
令和7年度第16問,不動産登記法,エ,筆界特定の申請人は、書面申請の方法により筆界特定の申請をする際に対象土地の所有権を有することを証する書面として売買契約書の原本を添付したときは、当該売買契約書の原本の還付を請求することができる。,○,所有権証明情報として提出した原本については、原本還付請求の手続をとることで還付を受けることができるため。
令和7年度第16問,不動産登記法,オ,甲土地と乙土地の筆界について既に甲土地の所有者を申請人とする筆界特定登記官による筆界特定がされていた場合であっても、当該筆界特定登記官が当該申請人の叔父であったという事情が判明したときは、乙土地の所有者は、改めて甲土地を対象土地として筆界特定の申請をすることができる。,○,登記官が申請人の親族（除斥事由該当）であった場合、その筆界特定の手続には瑕疵があるため、改めて筆界特定の申請をすることができるため。
令和7年度第17問,不動産登記法,ア,登記官の処分に不服がある場合であっても、当該処分があったことを知った日の翌日から起算して1月を経過したときは、審査請求をすることができない。,×,登記官の処分に対する審査請求については、行政不服審査法の一般的な期間制限は適用されず、期間の制限なく行うことができるため。
令和7年度第17問,不動産登記法,イ,法務局又は地方法務局の長が審査請求につき裁決したときは、裁決書の謄本を審査請求人及び登記官に交付する。,○,裁決が行われた場合、その結果を知らせるために裁決書の謄本が審査請求人等に交付されるため。
令和7年度第17問,不動産登記法,ウ,筆界特定登記官による筆界特定がされた場合には、申請人は、筆界特定の結果に不服があることを理由とする審査請求をすることができる。,×,筆界特定の結果に対する不服は、審査請求ではなく、裁判所に対する筆界確定の訴え等によって争うべきとされているため。
令和7年度第17問,不動産登記法,エ,甲土地について土地の地積の更正の登記がされた場合において、甲土地と隣接する乙土地の所有者は、筆界に異議があることを理由として、甲土地の地積の更正の登記の取消しを求める審査請求をすることができる。,×,隣接地の所有者は、当該土地の更正の登記に関して直接の登記上の利害関係を有するとは認められず、審査請求の適格を持たないため。
令和7年度第17問,不動産登記法,オ,Ａが所有権の登記名義人である土地の分筆の登記の申請が却下された場合において、Ａがその却下処分につき審査請求をしたときは、当該土地の抵当権の登記名義人であるＢは、参加人として当該審査請求に参加することができない。,○,却下処分に対する審査請求は申請人の救済手続であり、利害関係人であっても参加人として手続に参加することは認められていないため。
令和7年度第18問,不動産登記法,ア,法定相続情報一覧図の保管の申出を行う場合には、申出人が提出すべき法定相続情報一覧図には被相続人の本籍地の記載を要する。,×,法定相続情報一覧図には被相続人の最後の住所及び生年月日等を記載すれば足り、本籍地の記載は必須ではないため。
令和7年度第18問,不動産登記法,イ,法定相続情報一覧図の写しの再交付の申出は、当該法定相続情報一覧図の保存期間が満了するまで行うことができる。,○,保存期間内（作成年の翌年から5年間等）であれば、申出人は何度でも写しの再交付を申し出ることができるため。
令和7年度第18問,不動産登記法,ウ,法定相続情報一覧図の保管の申出の際に添付書面として提出された相続人の戸籍の全部事項証明書は、返却されない。,×,保管申出に添付した戸籍謄本等は、原本還付請求の手続を行うことにより返却（還付）を受けることができるため。
令和7年度第18問,不動産登記法,エ,法定相続情報一覧図の保管の申出は、申出人を所有権の登記名義人とする不動産の所在地を管轄する登記所にすることができる。,×,管轄は「被相続人の本籍地」「被相続人の最後の住所地」「申出人の住所地」「被相続人名義の不動産の所在地」のいずれかであり、申出人名義の不動産所在地ではないため。
令和7年度第18問,不動産登記法,オ,土地の表示に関する登記を申請する場合において、相続があったことを証する情報として当該相続に係る法定相続情報一覧図を識別するための法定相続情報番号を提供するときは、法定相続情報一覧図の写しを提供することを要しない。,○,法定相続情報番号を提供することによって登記所側で情報を確認できるため、書面としての写しの添付は省略できるため。
令和7年度第19問,不動産登記法,ア,1個の建物の表題部所有者の住所の更正の登記の申請をする場合には、納付すべき登録免許税の額は1000円となる。,×,表題部の変更・更正登記（表題部所有者の住所変更等を含む）は、登録免許税法上、非課税とされているため。
令和7年度第19問,不動産登記法,イ,私人を所有権の登記名義人とする土地の一部を買い受けた地方公共団体が、私人に代位して当該土地を2筆にする分筆の登記の嘱託をする場合には、登録免許税は課されない。,○,国や地方公共団体が自己のために代位して行う分筆の登記等については、非課税となるため。
令和7年度第19問,不動産登記法,ウ,いずれも所有権の登記のある3筆の土地を合筆する旨の登記をした後に、錯誤を原因として当該登記を抹消する旨の登記の申請をする場合には、納付すべき登録免許税の額は3000円となる。,×,合筆の登記の抹消は、合筆後の1つの不動産に対する抹消登記として扱われるため、登録免許税は不動産1個分（1000円）となるため。
令和7年度第19問,不動産登記法,エ,5筆の土地の所有権を敷地権とする所有権の登記のある1個の区分建物を2個の区分建物とする再区分の登記の申請をする場合には、納付すべき登録免許税の額は2000円となる。,○,敷地権付き区分建物の再区分（分割）による変更の登記は、増加する不動産（1個）と敷地権の数（5筆）などの計算に基づくのではなく、建物の分割による増加1個分（1000円）等の定額規定等が適用されるため。
